date,distance
1/3/2015,2.63
1/7/2015,2.63
1/17/2015,1.53
1/25/2015,3.03
2/1/2015,1.5
2/8/2015,3.13
2/17/2015,2.03
2/22/2015,2.02
3/3/2015,2.1
3/4/2015,2.06
3/5/2015,2.06
3/7/2015,2.1
3/14/2015,2
3/16/2015,2.11
3/17/2015,2.01
3/18/2015,2.1
3/29/2015,3.08
3/31/2015,2.05
4/1/2015,2.02
4/2/2015,2.19
4/7/2015,2.05
4/8/2015,2.03
4/11/2015,10.15
4/14/2015,2.13
4/15/2015,2.06
4/16/2015,2.76
4/21/2015,2.02
4/22/2015,2.62
4/27/2015,1.8
4/29/2015,2.06
4/30/2015,2.16
5/4/2015,2.12
5/5/2015,2.08
5/6/2015,2.03
5/7/2015,2.07
5/11/2015,2.05
5/12/2015,2.09
5/13/2015,2.04
5/14/2015,2.29
5/18/2015,2.02
5/19/2015,2.02
5/20/2015,2.35
5/26/2015,3.05
5/27/2015,2.02
5/28/2015,2.04
5/30/2015,5.46
6/1/2015,2.04
6/2/2015,2.04
6/3/2015,2.04
6/7/2015,4.02
6/16/2015,2.09
6/17/2015,2.1
6/18/2015,2.01
6/22/2015,2.01
6/23/2015,2.02
6/24/2015,2.04
6/29/2015,2.02
6/30/2015,2.04
7/1/2015,2.04
7/4/2015,4.09
7/6/2015,2.04
7/7/2015,3.08
7/8/2015,2.03
7/11/2015,4.01
7/13/2015,2.01
7/14/2015,2.01
7/15/2015,2.04
7/20/2015,2.05
7/21/2015,2.01
7/22/2015,2.04
7/25/2015,3.02
8/4/2015,2.02
8/6/2015,2.03
8/8/2015,3
8/11/2015,2.04
8/12/2015,6.1
8/17/2015,2.03
8/18/2015,2.07
8/20/2015,2.03
8/22/2015,4.65
8/24/2015,2.03
8/25/2015,2.05
8/28/2015,4.02
9/1/2015,2.02
9/2/2015,2.06
9/3/2015,2.02
9/5/2015,4.01
9/8/2015,2.03
9/9/2015,2.11
9/10/2015,2.02
9/12/2015,4.01
9/14/2015,2.02
9/16/2015,2.01
9/17/2015,2.51
9/21/2015,2.07
9/23/2015,3.02
9/24/2015,2.07
9/26/2015,4.57
9/29/2015,2.04
9/30/2015,2.05
10/6/2015,2.04
10/7/2015,2.08
10/8/2015,2.02
10/12/2015,2.39
10/14/2015,2.04
10/17/2015,7.02
10/20/2015,2.21
10/21/2015,2.96
10/22/2015,2.51
10/26/2015,2.09
10/27/2015,2.03
10/29/2015,2.81
11/2/2015,2.37
11/3/2015,2.14
11/6/2015,2.83
11/9/2015,2.02
11/10/2015,3.49
11/20/2015,2.04
11/23/2015,2.08
11/25/2015,2.79
11/26/2015,3.04
11/30/2015,2.04
12/2/2015,2.06
12/3/2015,2.57
12/8/2015,2.11
12/10/2015,2.1
12/12/2015,3.27
12/14/2015,2.05
12/15/2015,2.73
12/19/2015,4.01
12/30/2015,2.08
1/2/2016,4.02
1/4/2016,2.07
1/5/2016,3.02
1/7/2016,2.06
1/11/2016,2.04
1/12/2016,2.14
1/14/2016,2.06
1/18/2016,3.1
1/19/2016,2.08
1/26/2016,2.07
1/28/2016,2.05
2/1/2016,2.07
2/2/2016,2.08
2/4/2016,2.06
2/8/2016,2.07
2/9/2016,2.11
2/11/2016,2.05
2/15/2016,3.12
2/16/2016,2.08
2/18/2016,2.05
2/20/2016,6.27
2/22/2016,2.06
2/23/2016,2.05
2/25/2016,2.04
3/1/2016,2.07
3/3/2016,1.41
3/10/2016,6.02
3/22/2016,2.07
3/23/2016,2.01
3/26/2016,4.01
3/29/2016,2.07
3/30/2016,2.13
4/2/2016,3.23
4/5/2016,2.03
4/7/2016,2.02
4/9/2016,3.01
4/12/2016,2.03
4/14/2016,2.04
4/16/2016,4.03
5/21/2016,2.04
5/24/2016,2.07
5/31/2016,1.78
6/2/2016,1.58
6/4/2016,1.41
6/7/2016,1.62
6/9/2016,1.7
6/11/2016,1.57
6/13/2016,2.06
6/15/2016,2.01
6/18/2016,2.02
6/20/2016,2.08
6/22/2016,2.01
6/25/2016,2.5
6/27/2016,2.1
6/29/2016,2.05
7/2/2016,3.02
7/4/2016,2.08
7/6/2016,2.05
7/7/2016,2.67
7/10/2016,3.51
7/11/2016,2.1
7/13/2016,2.18
7/14/2016,2.91
7/16/2016,3.22
7/18/2016,2.09
7/20/2016,2.68
7/21/2016,2.76
7/23/2016,4.01
7/25/2016,2.01
7/26/2016,2.66
7/27/2016,2.09
7/30/2016,4.01
8/1/2016,2.05
8/2/2016,2.01
8/3/2016,3.03
8/9/2016,2.25
8/12/2016,3.18
8/15/2016,2.05
8/16/2016,2.06
8/17/2016,2.01
8/20/2016,4.28
8/22/2016,2.3
8/24/2016,2.02
8/27/2016,4.02
8/30/2016,2.51
9/1/2016,2.05
9/4/2016,7.41
9/6/2016,2.16
9/8/2016,2.07
9/10/2016,4.06
9/12/2016,2.01
9/14/2016,2.03
9/17/2016,4.02
9/19/2016,2.77
9/21/2016,2.02
9/24/2016,4.01
9/26/2016,2.03
9/28/2016,2.09
9/30/2016,4.07
10/3/2016,2.01
10/5/2016,2.75
10/8/2016,4.01
10/10/2016,2.07
10/12/2016,2.08
10/15/2016,3.18
10/18/2016,2.05
10/19/2016,2.01
10/22/2016,3.64
10/24/2016,2.01
10/26/2016,2.19
10/30/2016,4.01
10/31/2016,2.12
11/3/2016,2.01
11/5/2016,4.01
11/7/2016,2.01
11/9/2016,2.08
11/11/2016,2.82
11/14/2016,2.07
11/16/2016,2.26
11/19/2016,5.55
11/21/2016,2.09
11/23/2016,2.37
11/25/2016,4.01
11/28/2016,2.01
11/30/2016,2.3
12/4/2016,4.01
12/12/2016,2.35
12/14/2016,2.01
12/17/2016,4.11
12/20/2016,2.04
12/22/2016,2.02
12/25/2016,4.26
12/27/2016,2.06
12/29/2016,2.04
12/31/2016,4.01
1/2/2017,2.01
1/4/2017,2.02
1/7/2017,4.02
1/10/2017,2.02
1/12/2017,2.01
1/14/2017,4.03
1/17/2017,2.01
1/18/2017,2.01
1/22/2017,5.01
1/24/2017,2.02
1/26/2017,3.01
1/29/2017,4.02
1/31/2017,2.02
2/2/2017,2.15
2/5/2017,4.33
2/11/2017,4.02
2/17/2017,3.23
2/20/2017,2.01
2/23/2017,2.02
2/25/2017,1.81
2/27/2017,2.02
3/1/2017,2.02
3/6/2017,2.01
3/8/2017,2.01
3/13/2017,1.96
3/14/2017,2.07
3/16/2017,2.05
3/20/2017,2.02
3/22/2017,3.63
3/25/2017,3.16
3/27/2017,3.41
3/29/2017,2.01
4/1/2017,2.11
4/3/2017,2.02
4/4/2017,3.41
4/9/2017,3.01
4/10/2017,3.04
4/12/2017,2.13
4/13/2017,3.28
4/17/2017,3.02
4/18/2017,4.39
4/20/2017,3.8
4/24/2017,4.45
4/26/2017,4.23
4/27/2017,3.21
5/1/2017,7.23
5/2/2017,3.04
5/4/2017,3.04
5/8/2017,2.77
5/9/2017,3.08
5/11/2017,2.89
5/15/2017,4.15
5/16/2017,3.33
5/18/2017,3.31
5/22/2017,3.31
5/23/2017,3.02
5/26/2017,4.15
5/30/2017,4.1
5/31/2017,3.04
6/1/2017,3.01
6/5/2017,3.28
6/6/2017,3.03
6/7/2017,3.38
6/8/2017,4
6/12/2017,3.05
6/13/2017,3.01
6/15/2017,3.57
6/16/2017,3.02
6/19/2017,3.31
6/20/2017,3.16
6/21/2017,3.01
6/22/2017,3.04
6/26/2017,4.21
6/27/2017,3.35
6/28/2017,3.36
6/29/2017,3.54
7/3/2017,4.17
7/5/2017,3.08
7/6/2017,3.14
7/7/2017,2.09
7/10/2017,3.59
7/11/2017,3.04
7/12/2017,3.02
7/13/2017,3.01
7/17/2017,3.07
7/18/2017,3.13
7/19/2017,3.2
7/20/2017,2.14
7/25/2017,3.03
7/26/2017,4.03
7/27/2017,3.06
7/28/2017,3.28
7/31/2017,3.17
8/1/2017,3.02
8/2/2017,3.02
8/3/2017,3.67
8/7/2017,3.62
8/8/2017,3.01
8/9/2017,3.02
8/11/2017,3.03
8/14/2017,3.28
8/15/2017,3.02
8/17/2017,3.01
8/18/2017,3.52
8/28/2017,3.03
8/29/2017,3.03
8/30/2017,4.19
8/31/2017,3.01
9/4/2017,2.02
9/5/2017,2.02
9/6/2017,3.03
9/7/2017,3.03
9/11/2017,3.45
9/12/2017,3.49
9/13/2017,3.01
9/14/2017,3.01
9/18/2017,3.05
9/19/2017,3.37
9/20/2017,3.38
9/21/2017,2.82
9/25/2017,3.39
9/26/2017,3.02
9/27/2017,4.01
9/28/2017,3.56
10/2/2017,3
10/3/2017,3.2
10/4/2017,3.03
10/5/2017,3.04
10/9/2017,3
10/10/2017,3.08
10/11/2017,3.21
10/12/2017,3.04
10/16/2017,3.01
10/17/2017,5.51
10/18/2017,3.24
10/19/2017,3
10/23/2017,3.35
10/24/2017,3.01
10/25/2017,3.51
10/26/2017,3.35
10/30/2017,3.03
10/31/2017,3.02
11/1/2017,3.35
11/2/2017,3.36
11/6/2017,4.02
11/7/2017,3.01
11/8/2017,3.08
11/9/2017,3.25
11/13/2017,5.54
11/14/2017,3.01
11/15/2017,3.22
11/16/2017,3.23
11/20/2017,2.96
11/21/2017,3.37
11/22/2017,3.02
11/25/2017,3.13
11/27/2017,3.02
11/28/2017,3.01
11/29/2017,3.01
11/30/2017,3.01
12/6/2017,2.87
12/7/2017,3.02
12/11/2017,3.07
12/12/2017,3.01
12/13/2017,3.2
12/14/2017,3.09
12/18/2017,3.77
12/19/2017,3.01
12/20/2017,3.08
12/21/2017,3.02
12/24/2017,3.01
12/26/2017,3.27
12/27/2017,3.3
12/28/2017,3.31
1/1/2018,3.05
1/2/2018,3.36
1/3/2018,3.39
1/4/2018,3.38
1/8/2018,3.04
1/9/2018,3.39
1/10/2018,3.38
1/11/2018,3.05
1/15/2018,3.66
1/16/2018,2.99
1/17/2018,3.47
1/18/2018,3.37
1/22/2018,4.79
1/23/2018,3.52
1/24/2018,4.02
1/25/2018,3.05
1/29/2018,4.04
1/30/2018,4.02
1/31/2018,3.06
2/1/2018,7.06
2/5/2018,4.24
2/6/2018,4.28
2/7/2018,3.01
2/8/2018,8.02
2/12/2018,3.02
2/13/2018,4.25
2/14/2018,4.08
2/15/2018,8.17
2/19/2018,9.02
2/20/2018,4.04
2/21/2018,5.04
2/22/2018,4.13
2/26/2018,9.03
2/27/2018,4.06
2/28/2018,6.08
3/1/2018,4.02
3/5/2018,10.01
3/6/2018,4.04
3/7/2018,5
3/8/2018,4.02
3/11/2018,11.15
3/13/2018,4.62
3/14/2018,5.3
3/15/2018,5.14
3/19/2018,12.35
3/20/2018,3
3/22/2018,5.55
3/23/2018,5.46
3/26/2018,9.02
3/27/2018,5.03
3/28/2018,6.23
3/29/2018,8.03
4/2/2018,4.21
4/3/2018,5.08
4/4/2018,4.04
4/8/2018,10.14
4/9/2018,4.32
4/11/2018,4.19
4/12/2018,3.41
4/16/2018,3.31
4/17/2018,5.08
4/18/2018,3.47
4/19/2018,4.03
4/24/2018,3.01
4/25/2018,4.12
4/26/2018,5.25
4/30/2018,4.12
5/1/2018,4.83
5/2/2018,4.32
5/3/2018,6.19
5/7/2018,4.01
5/8/2018,4.04
5/9/2018,5.15
5/10/2018,4.56
5/14/2018,4.17
5/15/2018,4.02
5/16/2018,5.42
5/17/2018,4.5
5/21/2018,4.76
5/22/2018,4.05
5/23/2018,5.17
5/24/2018,4.05
5/26/2018,4.41
5/29/2018,4.06
5/30/2018,4.15
5/31/2018,5.12
6/4/2018,4.05
6/5/2018,4.02
6/6/2018,4.33
6/8/2018,3.04
6/11/2018,5.09
6/12/2018,4.06
6/13/2018,4.83
6/14/2018,4.28
6/18/2018,6.57
6/19/2018,4.05
6/20/2018,4.07
6/21/2018,4.1
6/25/2018,5.65
6/26/2018,4.1
6/27/2018,4.1
6/28/2018,4.08
7/2/2018,3.3
7/3/2018,4.04
7/4/2018,3.69
7/5/2018,4.37
7/9/2018,6.01
7/10/2018,4.28
7/11/2018,4.05
7/12/2018,4.03
7/16/2018,4.13
7/17/2018,4.04
7/18/2018,6.06
7/19/2018,4.23
7/23/2018,3.36
7/24/2018,5.27
7/25/2018,7.04
7/26/2018,7.88
7/30/2018,3.04
7/31/2018,3.72
8/1/2018,5.36
8/2/2018,6.29
8/6/2018,8.12
8/8/2018,3.52
8/9/2018,4.32
8/10/2018,2.84
8/13/2018,7.05
8/14/2018,3.11
8/15/2018,4
8/16/2018,3.03
8/20/2018,6.05
8/21/2018,4.5
8/23/2018,5
8/25/2018,9.15
8/27/2018,5.17
8/28/2018,7.04
8/29/2018,3.08
8/30/2018,4.73
9/5/2018,6.03
9/6/2018,9.1
9/11/2018,3.05
9/12/2018,4.06
9/13/2018,5.09
9/17/2018,4.15
9/18/2018,6.14
9/20/2018,7.05
9/22/2018,12.19
9/24/2018,5.07
9/25/2018,3.12
9/26/2018,8.1
9/27/2018,5.24
10/1/2018,5.06
10/2/2018,3.02
10/3/2018,5.09
10/6/2018,13.06
10/9/2018,3.19
10/15/2018,4.21
10/16/2018,3.02
10/17/2018,5.11
10/18/2018,4.07
10/22/2018,5.79
10/23/2018,4.69
10/24/2018,4.09
10/25/2018,4.21
10/29/2018,5.23
10/30/2018,3.13
10/31/2018,4.2
11/1/2018,4.36
11/5/2018,4.15
11/6/2018,4.49
11/7/2018,4.26
11/8/2018,4.1
11/12/2018,4.87
11/13/2018,4.03
11/14/2018,4.05
11/15/2018,4.27
11/19/2018,4.56
11/20/2018,4.71
11/21/2018,7.08
11/22/2018,4.23
11/26/2018,5.3
11/27/2018,3.02
11/28/2018,4.95
11/29/2018,7.06
12/3/2018,4.23
12/4/2018,4.03
12/5/2018,4.3
12/6/2018,3.6
12/10/2018,4.45
12/11/2018,4.02
12/12/2018,4.34
12/13/2018,4.91
12/17/2018,4.1
12/18/2018,4.24
12/19/2018,4.96
12/20/2018,4.21
12/31/2018,3.28
1/2/2019,4.12
1/3/2019,4.32
1/7/2019,4.26
1/8/2019,4.87
1/9/2019,5.2
1/10/2019,4.14
1/14/2019,5
1/15/2019,3.67
1/16/2019,5.22
1/17/2019,5.08
1/21/2019,3.09
1/22/2019,8.13
1/23/2019,5.09
1/24/2019,5.09
1/27/2019,6.08
1/28/2019,5.1
1/29/2019,5.17
1/31/2019,4.06
2/3/2019,8.08
2/4/2019,5.15
2/5/2019,5.05
2/7/2019,4.19
2/9/2019,10.09
2/11/2019,5
2/12/2019,8.09
2/13/2019,5.16
2/14/2019,6.16
2/18/2019,6.09
2/19/2019,6.11
2/21/2019,4.04
2/25/2019,7.12
2/26/2019,7.15
2/27/2019,6.04
2/28/2019,5.03
3/4/2019,7.01
3/6/2019,6.05
3/7/2019,5.09
3/11/2019,10.07
3/12/2019,6.18
3/13/2019,6.25
3/18/2019,8.05
3/19/2019,6.59
3/20/2019,3.14
3/21/2019,5.14
3/25/2019,6.11
3/26/2019,5.04
3/27/2019,4.18
3/28/2019,5.04
4/1/2019,2.4
4/2/2019,5.06
4/3/2019,4.24
4/4/2019,2.45
4/7/2019,10.06
4/10/2019,3.11
4/15/2019,4.11
4/16/2019,4.17
4/17/2019,4.19
4/18/2019,4.18
4/22/2019,2.82
4/23/2019,4.14
4/24/2019,4.24
4/25/2019,3.1
4/29/2019,4.16
4/30/2019,4.75
5/2/2019,3.19
5/6/2019,3.78
5/7/2019,3.45
5/8/2019,3.69
5/9/2019,3.04
5/13/2019,4.33
5/15/2019,4.02
5/16/2019,3.04
5/20/2019,3.34
5/21/2019,4.34
5/22/2019,4.19
5/23/2019,3.98
5/27/2019,3.04
5/28/2019,4.07
5/29/2019,3.13
5/30/2019,4.02
6/3/2019,4.04
6/4/2019,3.75
6/5/2019,4.55
6/6/2019,4.17
6/10/2019,4.05
6/11/2019,4.01
6/14/2019,4.06
6/17/2019,3
6/18/2019,4.03
6/19/2019,4.06
6/20/2019,4.07
6/24/2019,4.07
6/25/2019,3.78
6/26/2019,3.02
6/27/2019,3.34
7/1/2019,4.12
7/2/2019,4.07
7/3/2019,3.01
7/5/2019,3.03
7/8/2019,3.03
7/9/2019,4.15
7/10/2019,3.37
7/11/2019,4.8
7/15/2019,3.07
7/16/2019,3.02
7/22/2019,3.06
7/24/2019,3.01
7/25/2019,3.01
7/29/2019,3.82
7/30/2019,3.36
7/31/2019,3.03
8/1/2019,4.03
8/5/2019,4.11
8/6/2019,4.22
8/7/2019,3.05
8/8/2019,3.53
8/12/2019,3.04
8/19/2019,3.1
8/20/2019,3.41
8/21/2019,4.17
8/22/2019,4.03
8/26/2019,3.04
8/27/2019,3.26
8/28/2019,3.39
8/29/2019,3.05
9/3/2019,3.03
9/4/2019,4.22
9/10/2019,2.58
9/12/2019,3.01
9/16/2019,2.85
9/18/2019,2.02
9/23/2019,2.18
9/24/2019,2.28
10/8/2019,2.39
10/10/2019,1.55
10/15/2019,2.01
10/19/2019,2.01
10/24/2019,2.41
10/28/2019,2.01
10/29/2019,2.17
10/30/2019,2.02
11/4/2019,2.24
11/5/2019,3.27
11/6/2019,3.01
11/11/2019,3.18
11/12/2019,2.71
11/13/2019,3.12
11/14/2019,2.33
11/18/2019,2.27
11/19/2019,3.01
11/20/2019,2.03
11/21/2019,3.02
11/25/2019,2.05
11/26/2019,3.37
11/27/2019,3.06
12/2/2019,3.09
12/3/2019,3.06
12/4/2019,3.36
12/5/2019,2.2
12/9/2019,2.06
12/10/2019,3.33
12/11/2019,3.06
12/13/2019,3.04
12/16/2019,3.31
12/17/2019,3.09
12/21/2019,4.07
12/23/2019,3.3
12/25/2019,6.04
12/28/2019,2.11
12/31/2019,3.2
1/2/2020,2.07
1/5/2020,2.17
1/7/2020,5.01
1/10/2020,3.04
1/13/2020,3.01
1/14/2020,3.02
1/15/2020,3.62
1/16/2020,4.21
1/20/2020,3.04
1/21/2020,3.03
1/22/2020,3.41
1/23/2020,4.01
2/3/2020,3
2/4/2020,2.02
2/5/2020,3.95
2/6/2020,3.42
2/10/2020,3
2/11/2020,4.01
2/12/2020,3.21
2/13/2020,3.25
2/17/2020,3.2
2/18/2020,3.48
2/19/2020,3.06
2/20/2020,4.45
2/24/2020,4.18
2/25/2020,2.03
2/26/2020,3.25
3/2/2020,3.16
3/3/2020,4.16
3/4/2020,4.09
3/5/2020,4.36
3/9/2020,6.13
3/10/2020,3.01
3/12/2020,4.07
3/16/2020,3.07
3/17/2020,3.14
3/18/2020,3.5
3/19/2020,3.07
3/23/2020,3.01
3/24/2020,3.57
3/25/2020,2.83
3/26/2020,3.13
3/30/2020,3.05
3/31/2020,3.05
4/1/2020,3.09
4/2/2020,3.18
4/6/2020,3.09
4/7/2020,3.1
4/8/2020,3.16
4/9/2020,3.08
4/13/2020,3.07
4/14/2020,2.99
4/15/2020,3.19
4/16/2020,3.17
4/20/2020,3.51
4/21/2020,3.1
4/22/2020,3.04
4/23/2020,3.12
4/27/2020,3.08
4/28/2020,3.1
4/29/2020,3.32
4/30/2020,3.09
5/4/2020,3.12
5/5/2020,3.12
5/6/2020,3.09
5/7/2020,3.13
5/11/2020,3.09
5/12/2020,3.12
5/13/2020,3.07
5/14/2020,3.1
5/18/2020,3.08
5/19/2020,3.22
5/20/2020,3.24
5/21/2020,3.1
5/25/2020,3.03
5/26/2020,3.17
5/27/2020,3.06
5/28/2020,3.25
6/1/2020,3.4
6/2/2020,3.1
6/3/2020,3.13
6/4/2020,3.02
6/8/2020,3.12
6/9/2020,3.73
6/10/2020,3.82
6/11/2020,3.07
6/22/2020,3.07
6/23/2020,3.15
6/24/2020,3.03
6/25/2020,3.18
6/29/2020,3.06
6/30/2020,3
7/1/2020,2.93
7/2/2020,3.52
7/6/2020,3.15
7/7/2020,3.31
7/8/2020,3.32
7/9/2020,3.5
7/13/2020,3.15
7/14/2020,3.09
7/15/2020,3.16
7/16/2020,3.59
7/20/2020,3.16
7/21/2020,3.16
7/22/2020,3.09
7/23/2020,3.45
8/3/2020,3.4
8/5/2020,3.24
8/6/2020,3.05
8/10/2020,3.26
8/11/2020,3.04
8/12/2020,3.07
8/13/2020,3.27
8/17/2020,3.5
8/18/2020,3.1
8/19/2020,3.17
8/20/2020,3.59
8/24/2020,3.2
8/25/2020,3.27
8/26/2020,3.04
8/27/2020,3.57
8/31/2020,3.16
9/1/2020,3.21
9/2/2020,3.03
9/3/2020,3.54
9/7/2020,3.17
9/8/2020,3.57
9/9/2020,3.01
9/10/2020,3.51
9/14/2020,3.16
9/15/2020,3
9/16/2020,3.62
9/17/2020,4.21
9/21/2020,3.51
9/22/2020,4.9
9/23/2020,3.01
9/24/2020,3.25
9/28/2020,3.66
9/29/2020,3.81
9/30/2020,5.01
10/1/2020,3.21
10/5/2020,3.43
10/6/2020,3.16
10/7/2020,2.74
10/12/2020,3.04
10/13/2020,3.65
10/14/2020,3.5
10/15/2020,4.65
10/19/2020,3.13
10/20/2020,3.01
10/21/2020,3.04
10/22/2020,3.43
10/24/2020,0
10/26/2020,3.06
10/27/2020,3.02
10/28/2020,3.18
10/29/2020,4.01
10/31/2020,0
11/1/2020,0
11/2/2020,3.03
11/3/2020,3.54
11/4/2020,3.01
11/5/2020,3.15
11/7/2020,0
11/9/2020,3.03
11/10/2020,3.01
11/11/2020,4.01
11/12/2020,3.74
11/14/2020,0
11/16/2020,3.15
11/17/2020,3.02
11/18/2020,3.38
11/19/2020,3.71
11/21/2020,0
11/23/2020,3.03
11/24/2020,3.13
11/25/2020,3.33
11/26/2020,3.65
11/30/2020,3.01
12/1/2020,3.01
12/2/2020,3.1
12/3/2020,3.77
12/5/2020,0
12/7/2020,3.03
12/8/2020,3.39
12/9/2020,3.02
12/10/2020,4.2
12/12/2020,0
12/14/2020,3.03
12/15/2020,3.32
12/16/2020,3.04
12/17/2020,4.2
12/19/2020,0
12/21/2020,3.01
12/22/2020,3
12/23/2020,3.58
12/24/2020,3.01
12/28/2020,3.01
12/29/2020,3.08
12/30/2020,3.28
12/31/2020,4.41
1/3/2021,0
1/4/2021,3.01
1/5/2021,3.04
1/6/2021,3.23
1/7/2021,4.22
1/11/2021,3.13
1/12/2021,3.13
1/13/2021,3.32
